All Transactions Activity Types

Account Activity for Individual Brokerage -4702 from 2024-07-17 to 2026-07-17

Total:,-1815.91

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
07/13/26,07/13/26,07/14/26,Sold Short,CALL INTC   07/17/26   115.000,INTC,--,-1.0,0.87,86.48,0.52,--,--
07/13/26,07/13/26,07/14/26,Sold To Close,CALL INTC   07/13/26   135.000,INTC,--,-1.0,0.01,0.48,0.52,--,--
07/13/26,07/13/26,07/14/26,Bought To Cover,CALL INTC   07/13/26   140.000,INTC,--,1.0,0.02,-2.01,0.01,--,--
07/13/26,07/13/26,07/14/26,Bought To Open,CALL INTC   07/17/26   110.000,INTC,--,1.0,1.86,-186.51,0.51,--,--
07/13/26,07/13/26,07/10/26,Option Expired,CALL INTC   07/10/26   133.000,INTC,--,-1.0,,0.0,0.0,--,--
07/13/26,07/13/26,07/10/26,Option Expired,CALL INTC   07/10/26   135.000,INTC,--,1.0,,0.0,0.0,--,--
07/10/26,07/10/26,07/13/26,Bought To Open,CALL BTC    07/17/26    29.000,BTC,--,1.0,0.25,-25.51,0.51,--,--
07/06/26,07/06/26,07/07/26,Bought To Cover,CALL INTC   07/10/26   155.000,INTC,--,1.0,0.11,-11.51,0.51,--,--
07/06/26,07/06/26,07/07/26,Bought To Open,CALL INTC   07/13/26   135.000,INTC,--,1.0,2.07,-207.51,0.51,--,--
07/06/26,07/06/26,07/07/26,Sold Short,CALL INTC   07/13/26   140.000,INTC,--,-1.0,1.2,119.48,0.52,--,--
07/06/26,07/06/26,07/07/26,Sold To Close,CALL INTC   07/10/26   145.000,INTC,--,-1.0,0.43,42.48,0.52,--,--
07/06/26,07/06/26,07/07/26,Bought To Open,CALL NVO    07/24/26    50.000,NVO,--,1.0,1.25,-125.51,0.51,--,--
07/06/26,07/06/26,07/07/26,Sold Short,CALL NVO    07/24/26    56.000,NVO,--,-1.0,0.15,14.48,0.52,--,--
07/06/26,07/06/26,07/02/26,Option Expired,CALL AI     07/02/26    10.500,AI,--,-1.0,,0.0,0.0,--,--
07/06/26,07/06/26,07/02/26,Option Expired,CALL AI     07/02/26    13.500,AI,--,1.0,,0.0,0.0,--,--
07/02/26,07/02/26,07/06/26,Sold To Close,PUT  AI     07/02/26     9.500,AI,--,-1.0,0.17,16.48,0.52,--,--
07/02/26,07/02/26,07/06/26,Sold To Close,CALL INTC   07/02/26   133.000,INTC,--,-1.0,0.06,5.48,0.52,--,--
07/02/26,07/02/26,07/06/26,Bought To Cover,CALL INTC   07/02/26   135.000,INTC,--,1.0,0.03,-3.01,0.01,--,--
07/02/26,07/02/26,07/06/26,Sold Short,CALL INTC   07/10/26   135.000,INTC,--,-1.0,2.58,257.48,0.52,--,--
07/02/26,07/02/26,07/06/26,Bought To Open,CALL INTC   07/10/26   133.000,INTC,--,1.0,3.12,-312.51,0.51,--,--
07/02/26,07/02/26,07/06/26,Bought To Open,PUT  AI     07/02/26     9.500,AI,--,1.0,0.12,-12.51,0.51,--,--
06/30/26,06/30/26,06/30/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,0.68,0.0,--,--
06/30/26,06/30/26,06/30/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-0.68,0.0,--,--
06/30/26,06/30/26,06/30/26,Dividend,PROSHARES ULTRAPRO QQQ,TQQQ,--,,,0.68,0.0,--,--
06/30/26,06/30/26,06/30/26,Margin Interest,Thru 06/30/26 for 30 days,--,--,,,-35.3,0.0,--,--
06/26/26,06/26/26,06/26/26,Dividend,NVIDIA CORPORATION DIVIDEND REINVESTMENT,NVDA,--,0.019,194.923,-3.7,0.0,--,--
06/26/26,06/26/26,06/26/26,Qualified Dividend,NVIDIA CORPORATION REC 06/26/26 PAY 06/26/26 RATE 0.00000000 QTY 0.00000000,NVDA,--,,,3.75,0.0,--,--
06/25/26,06/25/26,06/26/26,Sold Short,CALL INTC   07/02/26   135.000,INTC,--,-1.0,4.76,475.48,0.52,--,--
