Position,U/L Price,Qty,U/L Change,Mark,Mark Chg,Cost Value,Market Value
AI Vertical,--,--,--,--,--,--,--
+1 Jul-02-26 10.5/13.5 Call Vertical,10.815,1,-0.215,0.645,-0.19,66,64.5
    +1 Jul-02-26 $10.5 Call,10.815,1,-0.215,0.73,-0.24,75,73
    -1 Jul-02-26 $13.5 Call,10.815,-1,-0.215,0.085,-0.05,-9,-8.5
INTC Vertical,--,--,--,--,--,--,--
-2 Jun26 122/123 Put Vertical,119.895,-2,-7.965,0.625,0.3,-84,-125
    +2 Jun26 $122 Puts,119.895,2,-7.965,4.775,2.64,540,955
    -2 Jun26 $123 Puts,119.895,-2,-7.965,5.4,2.94,-624,-1080
KEEL multiple,6.175,--,0.515,6.175,--,245,193.5
    +1 Jan27 $7 Call,6.175,1,0.515,1.935,0.245,245,193.5
RGTI Covered Call,--,--,--,--,--,--,--
+1 Jan28 65 Covered Call,21.0956,1,-1.6044,14.945,-1.6294,-2360,-615
    -1 Jan28 $65 Call,21.0956,-1,-1.6044,6.15,0.025,-2360,-615
SIRI call,--,--,--,--,--,--,--
    +1 Jan27 $35 Call,27.63,1,0.17,1.045,-0.11,65,104.5
SPOT Iron Condor,--,--,--,--,--,--,--
-1 Jun26 497.5/500/460/462.5 Iron Condor,466.595,-1,-13.255,0.85,0.015,-74,-85
    +1 Jun26 $460 Put,466.595,1,-13.255,4.525,2.3,229,452.5
    -1 Jun26 $462.5 Put,466.595,-1,-13.255,5.3,2.635,-266,-530
    -1 Jun26 $497.5 Call,466.595,-1,-13.255,0.695,-2.505,-307,-69.5
    +1 Jun26 $500 Call,466.595,1,-13.255,0.62,-2.185,270,62
SPY Vertical,--,--,--,--,--,--,--
+1 Jun-22-26 758/766 Call Vertical,752.73,1,-2.1,1.355,-0.74,220,135.5
    +1 Jun-22-26 $758 Call,752.73,1,-2.1,1.69,-1.045,299,169
    -1 Jun-22-26 $766 Call,752.73,-1,-2.1,0.335,-0.305,-79,-33.5
STLA call,--,--,--,--,--,--,--
    +1 Jan27 $20 Call,6.855,1,-0.185,0.025,-0.025,95,2.5
Portfolio Analysis,--,--,--,--,--,-1827,-324.5
"Margin Debit: $3,325.77",--,--,--,--,--,--,--
