ticker,risk_free_rate,trend,iv_env,signal_rating,recommended_structure,adx,rsi,pcr,rel_volume,macd_trend,spot,prev_close,price_change,price_change_pct,macd_hist,iv_rank_proxy,expiry,dte,weekly_trend,ema200,ema200_position,news_sentiment,news_headlines,news_bullish,news_bearish,analyst_buy,analyst_hold,analyst_sell,analyst_net_score,analyst_label,div_ex_date,div_days_to_ex,div_yield,div_in_window,short_interest,vol_skew_put_iv,vol_skew_call_iv,vol_skew_pct,pcr_sentiment,unusual_activity,vol_oi_ratio,call_oi,put_oi,oi_delta_calls,oi_delta_puts,back_expiry,back_dte,iv_term_shape,iv_term_note,iv_front_iv,iv_back_iv,iv_edge_pct,atm_iv,hv20,iv_premium,iv_discount,iv_hv_ratio,regime,signal_score,signal_notes,status,structure,recommended,details,pop,ev,max_profit,meets_min_profit,max_loss,meets_max_loss,net_delta,net_theta,net_gamma,net_vega,is_credit,long_strike,short_strike,spot_at_entry,profit_target,capital_required,gamma_penalty,div_warning,div_penalty,proximity_penalty,signal_score_adj,put_long_strike,put_short_strike,call_short_strike,call_long_strike
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Put Credit Spread,False,"SELL 728.0P / BUY 727.0P (short delta -0.20, credit ~$0.12, width $1, credit/width 12%, need >=25%, max profit $0.12 below $0.20 min, max loss $0.88 within $1.20 risk cap) | take-profit target ~$0.11 (90% of max profit) | short strike 2.3% from spot — caution",79.7,-0.083,0.12,False,0.88,True,0.01,0.0034,-0.000527,-0.0132,True,727.0,728.0,744.78,0.108,88.0,0.0,False,0.0,0.2,-0.2,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Cash Secured Put,False,"SELL 728.0P (delta -0.20, credit ~$2.60, breakeven $725.40, max loss $725.40/share if stock → 0, max profit $2.60 meets $0.20 min) | take-profit target ~$2.34 (90% of max profit) | short strike 2.3% from spot — caution",79.7,,2.6,True,725.4,,0.203,0.1938,-0.0127,-0.4269,True,,728.0,744.78,2.34,72540.0,0.0,False,0.0,0.2,-0.2,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Covered Call,False,"SELL 759.0C (delta 0.20, credit ~$1.64, max profit if called $15.86/share, breakeven $757.36, max profit $1.64 meets $0.20 min) | take-profit target ~$14.27 (90% of max profit) | ⚠ short strike only 1.9% from spot — danger zone",119.9,,15.86,True,,,-0.199,0.1562,-0.0184,-0.422,True,,759.0,744.78,14.274,,0.0,False,0.0,0.4,-0.4,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Call Credit Spread,False,"SELL 759.0C / BUY 760.0C (short delta 0.20, credit ~$0.19, width $1, credit/width 19%, need >=25%, max profit $0.19 below $0.20 min, max loss $0.81 within $1.20 risk cap) | take-profit target ~$0.17 (90% of max profit) | ⚠ short strike only 1.9% from spot — danger zone",80.1,-0.009,0.19,False,0.81,True,-0.02,0.0113,-0.00099,-0.0261,True,760.0,759.0,744.78,0.171,81.0,0.0,False,0.0,0.4,-0.4,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Iron Condor,False,"SELL 728.0P/BUY 727.0P + SELL 759.0C/BUY 760.0C (total credit ~$0.31, put 12% / call 19% of width, need >=25%, max profit $0.31 meets $0.20 min, max loss $0.69 within $1.20 risk cap) | take-profit target ~$0.28 (90% of max profit) | ⚠ short strike only 1.9% from spot — danger zone",59.7,-0.093,0.31,True,0.69,True,-0.01,0.0147,-0.001517,-0.0393,True,,,744.78,0.279,69.0,0.0,False,0.0,0.4,-0.4,727.0,728.0,759.0,760.0
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Call Debit Spread,True,"[Best EV] BUY 752.0C / SELL 755.0C (long delta 0.36, debit ~$1.18, width $3, max profit $1.82 meets $0.20 min, max loss $1.18 within $1.20 risk cap) | take-profit target ~$1.64 (90% of max profit) | ⚠ short strike only 1.4% from spot — danger zone",36.0,-0.099,1.82,True,1.18,True,0.072,-0.0297,0.001257,0.0495,False,752.0,755.0,744.78,1.638,118.0,0.0,False,0.0,0.4,-0.4,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Put Debit Spread,False,"BUY 745.0P / SELL 726.0P (long delta -0.48, debit ~$4.72, width $19, max profit $14.28 meets $0.20 min, max loss $4.72 exceeds $1.20 risk cap) | take-profit target ~$12.85 (90% of max profit) | short strike 2.5% from spot — caution",47.5,4.312,14.28,True,4.72,False,-0.292,-0.0191,0.010152,0.2008,False,745.0,726.0,744.78,12.852,472.0,0.0,False,0.0,0.2,-0.2,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Jade Lizard,False,"SELL 732.0P (naked, delta -0.25) + SELL 759.0C / BUY 760.0C (total credit ~$3.47, call spread width $1) - no upside risk, downside breakeven $728.53 (uncapped risk below that), max profit $3.47 meets $0.20 min, naked put requires ~$13618 margin (exceeds $1000 capital)) | take-profit target ~$3.12 (90% of max profit)",55.0,,3.47,True,,,0.231,0.2181,-0.015935,-0.5065,True,,,,3.123,13617.6,0.0,False,0.0,0.0,-0.0,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Calendar Spread,False,"SELL 745.0C (2026-07-17, 15d) / BUY 745.0C (2026-08-14, 43d) - debit ~$8.31, front IV 12% vs back IV 14% (unfavorable (front IV <= back IV)). Max loss ~debit if price moves far from 745.0 before 2026-07-17; profit zone is near 745.0 as the front-month decays faster, max loss $8.31 exceeds $1.20 risk cap.",,,,,8.31,False,0.022,0.0731,-0.011064,0.4127,False,,,,,831.0,0.0,False,0.0,0.0,-0.0,,,,
SPY,0.03668,Uptrend,Low,Moderate,Call Debit Spread,22.7,55.7,1.01,0.73,Bearish,744.78,745.76,-0.98,-0.13,-0.226,27.3,2026-07-17,15,Uptrend,692.17,above,Neutral,"['The 41-Day Dividend Trap That Quietly Erodes SPY Returns Every Quarter', '“Diversification Means Always Having to Say You’re Sorry""', 'Stocks Soaring, Gas Falling: Inside the July 4th Economy Everyone’s Arguing About', 'Fed Chair Warsh Just Said the One Thing About Inflation Every Investor Wanted to Hear', 'BLS Jobs Report: +57K, Half Expectations']",0,0,0,0,0,0.0,N/A,,,,False,,0.1502,0.0957,5.45,Neutral,False,0.31,305074,308549,0.0,0.0,2026-08-14,43,Flat,"Front IV 12% ≈ Back IV 14% — flat term structure, calendar spread is neutral on IV",0.1199,0.1395,-14.0,0.1199,0.1817,-0.0618,True,0.66,chop,1.32,"['Price above EMA200 — institutional uptrend confirms bullish bias', 'weekly trend confirms Uptrend', 'RSI 55.7 bullish momentum', 'MACD Bearish conflicts with upside bias', 'IV discount -6.2% vs HV20 — buying cheap options adds edge']",OK,Diagonal Spread,False,No strikes found in target delta ranges (bullish diagonal),,,,,,,,,,,,,,,,,0.0,False,0.0,0.0,-0.0,,,,
